what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1413083996325
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1413084000805
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413084017528
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1413084017595
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1413084020419
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413084031981
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413084062073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413084067491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413084090130
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1413084095840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413084100533
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1413084100544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413084106621
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1413084106721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413084108121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413084110607
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1413084112346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413084114704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413084116085
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413084116905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1413084118961
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1413084121987
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1413084122010
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1413084122518
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.TaskList",1413084123756
